SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,72 HOUSTON St,Newark City,NJ,07105-3112,297000,3,2,Ironbound,,1742,,57,,,Active,,,http://www.redfin.com/NJ/Newark/72-Houston-St-07105/home/36255344,GSMLS,3685508,N,Y,40.7227323,-74.1535971
MLS Listing,,Single Family Residential,193 Garside St,Newark,NJ,7104,349999,4,2,Newark,,2309,,57,,,Active,,,http://www.redfin.com/NJ/Newark/193-Garside-St-07104/home/36239888,NJMLS,21000398,N,Y,40.7581854,-74.1738025
MLS Listing,,Multi-Family (2-4 Unit),882 S 17th St,Newark,NJ,7108,351944,7,3,Newark,,2500,,58,,,Active,,,http://www.redfin.com/NJ/Newark/882-S-17th-St-07108/home/36277300,NJMLS,21000286,N,Y,40.7250416,-74.2130488
MLS Listing,,Single Family Residential,66 HELLER Pkwy,Newark City,NJ,07104-2204,575000,5,4,Newark City,,7840,1915,58,,,Active,,,http://www.redfin.com/NJ/Newark/66-Heller-Pkwy-07104/unit-1/home/174107806,GSMLS,3685199,N,Y,40.7756772,-74.1672778
MLS Listing,,Multi-Family (2-4 Unit),78 N 11th St,Newark,NJ,7107,529000,8,4,Newark,,3001,,59,,,Active,,,http://www.redfin.com/NJ/Newark/78-N-11th-St-07107/home/36261501,NJMLS,21000151,N,Y,40.7577641,-74.1931917
MLS Listing,,Vacant Land,32 N 14th St,Newark,NJ,7107,50000,,,Newark,,,,59,,,Active,,,http://www.redfin.com/NJ/NEWARK/32-N-14TH-ST-07107/home/36260002,NJMLS,21000135,N,Y,40.756909,-74.196392
MLS Listing,,Multi-Family (2-4 Unit),113 TELFORD St #2,Newark City,NJ,07106-1113,475000,7,4.5,Upper Vailsburg,19998,2613,2009,59,24,,Active,,,http://www.redfin.com/NJ/Newark/113-Telford-St-07106/unit-2/home/174105496,GSMLS,3685091,N,Y,40.7500789,-74.2282728
MLS Listing,,Multi-Family (2-4 Unit),676 Hunterdon St,Newark,NJ,7108,375000,7,3,Newark,,,,60,,,Active,,,http://www.redfin.com/NJ/Newark/676-Hunterdon-St-07108/home/36274696,NJMLS,21000099,N,Y,40.7201163,-74.1993829
MLS Listing,,Multi-Family (2-4 Unit),264 SEYMOUR Ave,Newark City,NJ,07108-1516,395950,8,3,Newark City,3108,3049,1910,60,127,,Active,,,http://www.redfin.com/NJ/Newark-City/264-SEYMOUR-AVE-07108/home/174104934,GSMLS,3685043,N,Y,40.722962,-74.201725
MLS Listing,,Multi-Family (2-4 Unit),172 N 14TH St,East Orange City,NJ,07017-5211,298000,6,4.5,East Orange City,1,3484,1967,60,298000,,Active,,,http://www.redfin.com/NJ/East-Orange/172-N-14th-St-07017/home/160424392,GSMLS,3684989,N,Y,40.7610355,-74.1939274
MLS Listing,,Multi-Family (2-4 Unit),77 Pierce St,Newark,NJ,7103,420000,9,3,Newark,,2801,,62,,,Active,,,http://www.redfin.com/NJ/Newark/77-Pierce-St-07103/home/36271940,NJMLS,20052586,N,Y,40.7288183,-74.2085548
MLS Listing,,Multi-Family (2-4 Unit),71 Seymour Ave,Newark,NJ,7108,395950,6,3,Newark,,2484,,62,,,Active,,,http://www.redfin.com/NJ/Newark/71-Seymour-Ave-07108/home/36275599,NJMLS,20052584,N,Y,40.7229938,-74.201997
MLS Listing,,Multi-Family (2-4 Unit),64 Homestead Park,Newark,NJ,7108,390000,7,3,Newark,,4025,,62,,,Active,,,http://www.redfin.com/NJ/Newark/64-Homestead-Park-07108/home/36280312,NJMLS,20052579,N,Y,40.7195929,-74.2130488
MLS Listing,,Single Family Residential,9 PARKVIEW Ter,Newark City,NJ,07112-2019,249900,4,1.5,Newark City,,3920,1917,62,,,Active,,,http://www.redfin.com/NJ/Newark/9-Parkview-Ter-07112/home/36286235,GSMLS,3684843,N,Y,40.7095863,-74.2105152
MLS Listing,,Multi-Family (2-4 Unit),20-22 HUNTER St,Newark City,NJ,07114-1608,569000,8,5.5,Newark City,,3484,2005,63,,,Active,,,http://www.redfin.com/NJ/Newark/20-22-Hunter-St-07114/home/39925582,GSMLS,3684735,N,Y,40.717796,-74.189227
MLS Listing,,Multi-Family (2-4 Unit),46 FABYAN Pl,Newark City,NJ,07108-1025,455000,12,3,Newark City,2100,3484,1930,64,217,,Active,,,http://www.redfin.com/NJ/Newark/46-Fabyan-Pl-07108/home/36281937,GSMLS,3684645,N,Y,40.7216198,-74.2159378
MLS Listing,,Multi-Family (2-4 Unit),232 S 6TH St,Newark City,NJ,07103-2446,399000,7,3,Newark City,,2178,1940,64,,,Active,,,http://www.redfin.com/NJ/Newark/232-S-6th-St-07103/home/36256630,GSMLS,3684581,N,Y,40.7399191,-74.1967525
MLS Listing,,Single Family Residential,84 LONGFELLOW Ave,Newark City,NJ,07106-1502,310000,4,1.5,Upper Vailsburg,,3484,1925,65,,,Active,,,http://www.redfin.com/NJ/Newark/84-Longfellow-Ave-07106/home/36303223,GSMLS,3684571,N,Y,40.7484446,-74.2353799
MLS Listing,,Multi-Family (2-4 Unit),186 Custer Ave,Newark,NJ,7112,599900,0,,Newark,,2888,,65,,,Active,,,http://www.redfin.com/NJ/Newark/186-Custer-Ave-07112/home/36069345,CJMLS,2110247,N,Y,40.7125078,-74.2073276
MLS Listing,,Multi-Family (2-4 Unit),188 Custer Ave,Newark,NJ,7112,599900,0,,Newark,4060,2500,,65,148,,Active,,,http://www.redfin.com/NJ/Newark/188-Custer-Ave-07112/home/36282799,CJMLS,2110246,N,Y,40.7125451,-74.207351
MLS Listing,,Multi-Family (2-4 Unit),28 Pierce St,Newark,NJ,7103,299000,2,2,Newark,,2252,,65,,,Active,,,http://www.redfin.com/NJ/Newark/28-Pierce-St-07103/home/36271791,NJMLS,20052363,N,Y,40.7302501,-74.2075345
MLS Listing,,Vacant Land,135 BLOOMFIELD Ave,Newark City,NJ,07104-1918,259900,,,Newark City,,2178,,65,,,Active,,,http://www.redfin.com/NJ/Newark/135-Bloomfield-Ave-07104/home/148431092,GSMLS,3684460,N,Y,40.7582368,-74.1747198
MLS Listing,,Multi-Family (2-4 Unit),348 SUSSEX Ave,Newark City,NJ,07107-2946,329999,5,2.5,Newark City,2100,1742,1957,66,157,,Active,,,http://www.redfin.com/NJ/Newark/348-Sussex-Ave-07107/home/36259908,GSMLS,3684440,N,Y,40.7506958,-74.1911852
MLS Listing,,Multi-Family (2-4 Unit),21 ADAMS St,Newark City,NJ,07105-2303,490000,4,2,Newark City,19998,2178,,69,25,,Active,,,http://www.redfin.com/NJ/Newark/21-Adams-St-07105/home/36267139,GSMLS,3684322,N,Y,40.7314553,-74.1567737
MLS Listing,,Multi-Family (2-4 Unit),36 Park Ave,Newark,NJ,7104,450000,7,4,Newark,,1973,,69,,,Active,,,http://www.redfin.com/NJ/Newark/36-Park-Ave-07104/home/174004240,NJMLS,20052228,N,Y,40.7551878,-74.1745249
MLS Listing,,Multi-Family (2-4 Unit),137 HILLSIDE Ave,Newark City,NJ,07108-2409,550000,8,5,Newark City,,3049,2006,69,,,Active,,,http://www.redfin.com/NJ/Newark/137-Hillside-Ave-07108/home/36274248,GSMLS,3684277,N,Y,40.7185991,-74.1937879
MLS Listing,,Single Family Residential,85 LESLIE St,Newark City,NJ,07108-1018,340000,4,3,Newark City,,4791,,70,,,Active,,,http://www.redfin.com/NJ/Newark/85-Leslie-St-07108/home/36282043,GSMLS,3684260,N,Y,40.7204314,-74.2150709
MLS Listing,,Single Family Residential,620 IRVINGTON Ave,Maplewood Twp.,NJ,07040-1643,469000,3,1.5,Maplewood Twp.,,3920,1925,70,,,Active,,,http://www.redfin.com/NJ/Maplewood/620-Irvington-Ave-07040/home/36371360,GSMLS,3684248,N,Y,40.7337916,-74.2472092
MLS Listing,,Townhouse,240 W Kinney St,Newark City,NJ,07103-3359,250000,2,1,Newark City,,,2000,70,,300,Active,,,http://www.redfin.com/NJ/Newark/240-W-Kinney-St-07103/unit-9F/home/165590354,GSMLS,3684168,N,Y,40.7315947,-74.1876971
MLS Listing,,Multi-Family (2-4 Unit),50-52 9th Ave,Newark,NJ,7107,549000,13,5,Newark,,3001,,71,,,Active,,,http://www.redfin.com/NJ/Newark/50-9th-Ave-07107/home/144477223,NJMLS,20052090,N,Y,40.751166,-74.1964093
MLS Listing,,Multi-Family (2-4 Unit),169 Goodwin Ave,Newark,NJ,7112,359900,8,3,Newark,,4082,,71,,,Active,,,http://www.redfin.com/NJ/Newark/169-Goodwin-Ave-07112/home/36284944,NJMLS,20052079,N,Y,40.7127518,-74.2138743
MLS Listing,,Single Family Residential,429 WILDEN Pl,South Orange Village Twp.,NJ,07079-2518,484900,3,2,South Orange Village Twp.,,6098,1928,71,,,Active,,,http://www.redfin.com/NJ/South-Orange/429-Wilden-Pl-07079/home/36335848,GSMLS,3684122,N,Y,40.7402876,-74.2489056
MLS Listing,,Single Family Residential,28 Grumman Ave,Newark,NJ,7112,325000,4,1.5,Newark,,3232,,71,,,Active,,,http://www.redfin.com/NJ/Newark/28-Grumman-Ave-07112/home/165629763,NJMLS,20052034,N,Y,40.7016388,-74.2137906
MLS Listing,,Multi-Family (2-4 Unit),158 Parker St,Newark,NJ,7104,395000,6,4,Newark,,2500,,72,,,Active,,,http://www.redfin.com/NJ/Newark/158-Parker-St-07104/home/36239040,NJMLS,20051986,N,Y,40.7583151,-74.1783777
MLS Listing,,Multi-Family (2-4 Unit),142-144 Sunset Ave,Newark,NJ,7106,650000,9,6,Newark,,3659,,72,,,Active,,,http://www.redfin.com/NJ/Newark/142-Sunset-Ave-07106/unit-144/home/36296175,NJMLS,20051942,N,Y,40.7412364,-74.2274634
MLS Listing,,Multi-Family (2-4 Unit),144 Sunset Ave,Newark,NJ,7106,650000,0,,Newark,3776,3659,1921,74,172,,Active,,,http://www.redfin.com/NJ/Newark/144-Sunset-Ave-07106/home/173972781,CJMLS,2109766,N,Y,40.7412141,-74.2275245
MLS Listing,,Single Family Residential,63-65 Stengel Ave,Newark,NJ,7112,299000,5,2,Newark,,5001,,75,,,Active,,,http://www.redfin.com/NJ/Newark/63-Stengel-Ave-07112/home/36285114,NJMLS,20051839,N,Y,40.7078174,-74.206832
MLS Listing,,Single Family Residential,20 Palm St,Newark,NJ,7106,240000,4,1.5,Newark,,2500,,75,,,Active,,,http://www.redfin.com/NJ/Newark/20-Palm-St-07106/home/36302759,NJMLS,20051797,N,Y,40.747151,-74.2312757
MLS Listing,,Single Family Residential,125 S Munn Ave,Newark,NJ,7106,214900,3,1,Newark,,3040,,76,,,Active,,,http://www.redfin.com/NJ/Newark/125-S-Munn-Ave-07106/home/36292977,NJMLS,20051755,N,Y,40.7409765,-74.2197324
MLS Listing,,Single Family Residential,454 IRVINGTON Ave,Maplewood Twp.,NJ,07040-1508,375000,3,1,Maplewood Twp.,,6098,1923,76,,,Active,,,http://www.redfin.com/NJ/Maplewood/454-Irvington-Ave-07040/home/36371178,GSMLS,3683585,N,Y,40.7380677,-74.2520347
MLS Listing,,Single Family Residential,448 W 4th Ave,Newark,NJ,7107,310000,6,3,Newark,,,,77,,,Active,,,http://www.redfin.com/NJ/Newark/448-4th-Ave-W-07107/home/36263187,NJMLS,20051665,N,Y,40.762431,-74.190082
MLS Listing,,Vacant Land,147 Dewey St,Newark,NJ,7112,120000,,,Newark,,,,77,,,Active,,,http://www.redfin.com/NJ/Newark/147-Dewey-St-07112/home/36280587,NJMLS,20051626,N,Y,40.7147526,-74.2174052
MLS Listing,,Multi-Family (2-4 Unit),188 CUSTER Ave #2,Newark City,NJ,07112-2139,599900,6,4.5,Weequahic,4060,2613,2021,77,148,,Active,,,http://www.redfin.com/NJ/Newark/188-Custer-Ave-07112/unit-2/home/173961826,GSMLS,3683415,N,Y,40.7125451,-74.207351
MLS Listing,,Multi-Family (2-4 Unit),267 Garside St,Newark,NJ,7104,525000,7,4,Newark,,2108,,78,,,Active,,,http://www.redfin.com/NJ/Newark/267-Garside-St-07104/home/36241269,NJMLS,20051539,N,Y,40.7606972,-74.1719564
MLS Listing,,Multi-Family (2-4 Unit),267 GARSIDE St #3,Newark City,NJ,07104-2709,525000,7,4,Newark City,29997,2178,2020,78,18,,Active,,,http://www.redfin.com/NJ/Newark/267-Garside-St-07104/unit-3/home/173958527,GSMLS,3683356,N,Y,40.7606972,-74.1719564
MLS Listing,,Single Family Residential,141 1/2 Clifton Ave,Newark,NJ,7104,179895,3,1,Newark,,1651,,78,,,Active,,,http://www.redfin.com/NJ/Newark/1-Clifton-Ave-07103/home/173875944,NJMLS,20051497,N,Y,40.7489922,-74.18102
MLS Listing,,Multi-Family (2-4 Unit),232 Sherman Ave,Newark,NJ,7114,255000,6,2,Newark,,2500,,78,,,Active,,,http://www.redfin.com/NJ/Newark/232-Sherman-Ave-07114/home/36274657,NJMLS,20051491,N,Y,40.7166514,-74.1887774
MLS Listing,,Multi-Family (2-4 Unit),57 ROSE Ter,Newark City,NJ,07108-1618,320000,5,3,Upper Clinton Hill,,3484,1927,78,,,Active,,,http://www.redfin.com/NJ/Newark/57-Rose-Ter-07108/home/36271771,GSMLS,3683309,N,Y,40.7269351,-74.201997
MLS Listing,,Multi-Family (2-4 Unit),471-475 Delavan Ave,Newark,NJ,7107,419500,3,3,Newark,,3106,,78,,,Active,,,http://www.redfin.com/NJ/Newark/471-Delavan-Ave-07107/unit-475/home/36247521,NJMLS,20051451,N,Y,40.7755712,-74.1800318
MLS Listing,,Multi-Family (2-4 Unit),101 HIGHLAND Ave,Newark City,NJ,07104-1144,450000,6,6,Newark City,,2613,1910,79,,,Active,,,http://www.redfin.com/NJ/Newark/101-Highland-Ave-07104/home/36240076,GSMLS,3683198,N,Y,40.760127,-74.1778889
MLS Listing,,Multi-Family (5+ Unit),513-515 Market St,Newark,NJ,7105,800000,16,,Newark,,,,81,,,Active,,,http://www.redfin.com/NJ/Newark/513-Market-St-07105/home/173951325,NJMLS,20051226,N,Y,40.732267,-74.1562347
MLS Listing,,Multi-Family (2-4 Unit),880-882 S 20TH S #2,Newark City,NJ,07108-1127,305000,8,3,Newark City,2658,3920,1927,82,115,,Active,,,http://www.redfin.com/NJ/Newark/880-S-20th-St-07108/unit-2/home/173935662,GSMLS,3682882,N,Y,40.7260156,-74.2157654
MLS Listing,,Multi-Family (2-4 Unit),39-41 4th St,Newark,NJ,7107,450000,6,3,Newark,,3324,,82,,,Active,,,http://www.redfin.com/NJ/Newark/39-4th-St-07107/home/36374850,NJMLS,20051156,N,Y,40.7484242,-74.1907003
MLS Listing,,Multi-Family (2-4 Unit),5-7 Saint Charles St,Newark,NJ,7105,949000,6,4.5,Newark,,3515,,82,,,Active,,,http://www.redfin.com/NJ/Newark/5-St-Charles-St-07105/home/36268217,NJMLS,20051148,N,Y,40.729382,-74.146957
MLS Listing,,Multi-Family (2-4 Unit),425 S 16th St,Newark,NJ,7103,319000,5,2,Newark,,1999,,83,,,Active,,,http://www.redfin.com/NJ/Newark/425-S-16th-St-07103/home/36235390,NJMLS,20051062,N,Y,40.7414465,-74.2063077
MLS Listing,,Multi-Family (2-4 Unit),94-96 Lyons Ave,Newark,NJ,7112,469777,8,3,Newark,,4948,,83,,,Active,,,http://www.redfin.com/NJ/Newark/94-Lyons-Ave-07112/home/36288549,NJMLS,20051037,N,Y,40.7075817,-74.2098542
MLS Listing,,Multi-Family (2-4 Unit),224 N 5TH St #2,Newark City,NJ,07107-2225,275000,6,4,Newark City,19998,1742,1900,83,14,,Active,,,http://www.redfin.com/NJ/Newark/224-N-5th-St-07107/unit-2/home/173924732,GSMLS,3682686,N,Y,40.7556934,-74.1877799
MLS Listing,,Multi-Family (2-4 Unit),107 Ferguson St,Newark,NJ,7105,474900,5,3,Newark,,1311,,83,,,Active,,,http://www.redfin.com/NJ/Newark/107-Ferguson-St-07105/home/36266774,NJMLS,20050970,N,Y,40.7288783,-74.1533448
MLS Listing,,Condo/Co-op,201 Dey St #108,Harrison,NJ,7029,460000,2,2,Harrison,,,,83,,,Active,,,http://www.redfin.com/NJ/Harrison/201-Dey-St-07029/unit-108/home/36430622,NJMLS,20050955,N,Y,40.7438508,-74.1640441
MLS Listing,,Multi-Family (2-4 Unit),224 N 5th St,Newark,NJ,7107,275000,6,4,Newark,,1882,,84,,,Active,,,http://www.redfin.com/NJ/Newark/224-N-5th-St-07107/home/36261279,NJMLS,20050918,N,Y,40.7556934,-74.1877799
MLS Listing,,Single Family Residential,756-758 Degraw Ave,Newark,NJ,7104,650000,8,8,Newark,,5401,,85,,,Active,,,http://www.redfin.com/NJ/Newark/756-Degraw-Ave-07104/home/36248688,NJMLS,20050791,N,Y,40.7780199,-74.171267
MLS Listing,,Multi-Family (2-4 Unit),37 S 8th St,Newark,NJ,7107,475000,0,,Newark,2558,2500,2006,85,186,,Active,,,http://www.redfin.com/NJ/Newark/37-S-8th-St-07107/home/36258984,CJMLS,2109646,N,Y,40.7493312,-74.1945183
MLS Listing,,Condo/Co-op,15-19 Tichenor Ln #407,Newark,NJ,7114,269900,3,2,Newark,1260,,,86,214,,Active,,,http://www.redfin.com/NJ/Newark/15-Tichenor-St-07102/unit-407/home/173899105,NJMLS,20050556,N,Y,40.7246827,-74.1776287
MLS Listing,,Condo/Co-op,15-19 TICHENOR Ln #407,Newark City,NJ,07114-2514,269900,3,2,Ironbound,,1306,2009,86,,275,Active,,,http://www.redfin.com/NJ/Newark-City/15-19-TICHENOR-LN-07114/unit-407/home/174003791,GSMLS,3681992,N,Y,40.722227,-74.178228
MLS Listing,,Townhouse,164 FAIRMOUNT Ave,Newark City,NJ,07103-2433,160000,3,1.5,Central,,,1970,88,,,Active,,,http://www.redfin.com/NJ/Newark/164-Fairmount-Ave-07103/unit-1/home/36233894,GSMLS,3681867,N,Y,40.7416359,-74.1936083
MLS Listing,,Multi-Family (2-4 Unit),226 FAIRMOUNT Ave,Newark City,NJ,07103-2455,429000,8,3,Newark City,2500,2613,2019,88,172,,Active,,,http://www.redfin.com/NJ/Newark/226-Fairmount-Ave-07103/home/36233780,GSMLS,3681865,N,Y,40.7395526,-74.1947051
MLS Listing,,Multi-Family (2-4 Unit),90 HIGHLAND Ave,Newark City,NJ,07104-1107,325000,4,3,Newark City,,2613,1897,89,,,Active,,,http://www.redfin.com/NJ/Newark/90-Highland-Ave-07104/home/36239931,GSMLS,3681707,N,Y,40.759924,-74.1785611
MLS Listing,,Multi-Family (2-4 Unit),155 Brookwood St,East Orange,NJ,7018,400000,6,3,East Orange,,3925,,90,,,Active,,,http://www.redfin.com/NJ/East-Orange/155-Brookwood-St-07018/home/36149956,NJMLS,20050164,N,Y,40.7475507,-74.2256591
MLS Listing,,Multi-Family (2-4 Unit),114 ORATON St,Newark City,NJ,07104-4108,425000,4,3,Newark City,19998,1306,1882,90,21,,Active,,,http://www.redfin.com/NJ/Newark/114-Oraton-St-07104/home/36246059,GSMLS,3681459,N,Y,40.7695117,-74.1616474
MLS Listing,,Multi-Family (2-4 Unit),116 ORATON St,Newark City,NJ,07104-4108,425000,4,3,Newark City,19998,1306,1882,90,21,,Active,,,http://www.redfin.com/NJ/Newark/116-Oraton-St-07104/home/36246031,GSMLS,3681456,N,Y,40.7696356,-74.1616359
MLS Listing,,Multi-Family (2-4 Unit),174 Pacific St,Newark,NJ,7105,369000,4,2,Newark,,2030,,92,,,Active,,,http://www.redfin.com/NJ/Newark/174-Pacific-St-07105/home/36253249,NJMLS,20049912,N,Y,40.721674,-74.16822
MLS Listing,,Multi-Family (2-4 Unit),18 Huntington Ter,Newark,NJ,7112,549000,9,5,Newark,,3498,,92,,,Active,,,http://www.redfin.com/NJ/Newark/18-Huntington-Ter-07112/home/36282936,NJMLS,20049908,N,Y,40.7167946,-74.2076835
MLS Listing,,Condo/Co-op,201 Dey St #166,Harrison,NJ,7029,380000,2,2,Harrison,,,,92,,,Active,,,http://www.redfin.com/NJ/Harrison/201-Dey-St-07029/unit-166/home/36430501,NJMLS,20049905,N,Y,40.7438508,-74.1640441
MLS Listing,,Multi-Family (2-4 Unit),19 Huntington Ter,Newark,NJ,7112,549000,9,5,Newark,,3498,,92,,,Active,,,http://www.redfin.com/NJ/Newark/19-Huntington-Ter-07112/home/36282902,NJMLS,20049901,N,Y,40.7169746,-74.2081421
MLS Listing,,Condo/Co-op,54-56 ORIENTAL St #2,Newark City,NJ,07104-4027,199900,2,2,Newark City,,1742,1920,92,,,Active,,,http://www.redfin.com/NJ/Newark/54-56-Oriental-St-07104/unit-2/home/56012253,GSMLS,3681113,N,Y,40.7601515,-74.1672878
MLS Listing,,Multi-Family (2-4 Unit),99 Cutler St,Newark,NJ,7104,330000,5,3,Newark,,1742,,92,,,Active,,,http://www.redfin.com/NJ/Newark/99-Cutler-St-07104/home/36238069,NJMLS,20049812,N,Y,40.7546793,-74.1747542
MLS Listing,,Single Family Residential,778 S 16TH St,Newark City,NJ,07103-1430,265000,5,2,Newark City,,2613,1955,92,,,Active,,,http://www.redfin.com/NJ/Newark/778-S-16th-St-07103/home/36271845,GSMLS,3681050,N,Y,40.7284192,-74.2108821
MLS Listing,,Single Family Residential,62 Mountain View Ave,Newark,NJ,7106,230000,4,2,Newark,,3912,,92,,,Active,,,http://www.redfin.com/NJ/Newark/62-Mountainview-Ave-07106/home/36303907,NJMLS,20049799,N,Y,40.746763,-74.2208352
MLS Listing,,Multi-Family (2-4 Unit),192 Renner Ave,Newark,NJ,7112,450000,7,4,Newark,,2500,,93,,,Active,,,http://www.redfin.com/NJ/Newark/192-Renner-Ave-07112/home/36074061,NJMLS,20049722,N,Y,40.7117897,-74.2075459
MLS Listing,,Condo/Co-op,308-310 PASSAIC Ave,Harrison Town,NJ,7029,256000,2,2,Harrison Town,935,871,1900,93,274,342,Active,,,http://www.redfin.com/NJ/Harrison/308-Passaic-Ave-07029/home/148313567,GSMLS,3680855,N,Y,40.7483029,-74.1643243
MLS Listing,,Condo/Co-op,63-69 ROME St,Newark City,NJ,07105-3405,229900,2,1,Newark City,1137,10454,1990,94,202,240,Active,,,http://www.redfin.com/NJ/Newark/63-Rome-St-07105/home/51591678,GSMLS,3680754,N,Y,40.7231042,-74.1468194
MLS Listing,,Single Family Residential,1-9 Pomona Ave,Newark,NJ,7112,140000,2,1,Newark,,832,,95,,,Active,,,http://www.redfin.com/NJ/Newark/1-Pomona-Ave-07112/unit-3B/home/167071925,NJMLS,20049572,N,Y,40.7063344,-74.2098089
MLS Listing,,Single Family Residential,5 POMONA AVE 1A,Newark City,NJ,07112-2313,140000,2,1,Newark City,,871,2006,95,,200,Active,,,http://www.redfin.com/NJ/Newark/5-Pomona-Ave-07112/unit-5F/home/36070349,GSMLS,3680740,N,Y,40.7047776,-74.2074678
MLS Listing,,Multi-Family (2-4 Unit),911 S 18th St,Newark,NJ,7108,449000,9,6,Newark,,3302,,98,,,Active,,,http://www.redfin.com/NJ/Newark/911-S-18th-St-07108/home/36277411,NJMLS,20049363,N,Y,40.7245446,-74.2147456
MLS Listing,,Single Family Residential,49-51 Girard Pl,Newark,NJ,7108,450000,5,3.5,Newark,,6046,,98,,,Active,,,http://www.redfin.com/NJ/Newark/49-Girard-Pl-07108/home/36280416,NJMLS,20049354,N,Y,40.721499,-74.213206
MLS Listing,,Multi-Family (2-4 Unit),118 ORATON St,Newark City,NJ,07104-4108,550000,4,2.5,Newark City,19998,1306,2020,99,28,,Active,,,http://www.redfin.com/NJ/Newark/118-Oraton-St-07104/home/165674729,GSMLS,3680302,N,Y,40.7696349,-74.1616071
MLS Listing,,Multi-Family (2-4 Unit),473 S 14th St,Newark,NJ,7103,365000,7,3,Newark,,2770,,99,,,Active,,,http://www.redfin.com/NJ/Newark/473-S-14th-St-07103/home/36236312,NJMLS,20049245,N,Y,40.7388844,-74.2053906
MLS Listing,,Multi-Family (2-4 Unit),59 N 5TH St,Newark City,NJ,07107-2905,349995,9,3,Newark City,1998,3484,,99,175,,Active,,,http://www.redfin.com/NJ/Newark/59-N-5th-St-07107/home/174323052,GSMLS,3680196,N,Y,40.7497899,-74.1908527
MLS Listing,,Vacant Land,478 Halsted St,East Orange,NJ,7018,99000,,,East Orange,,,,99,,,Active,,,http://www.redfin.com/NJ/East-Orange/478-Halsted-St-07018/home/165652670,NJMLS,20049200,N,Y,40.7511531,-74.2260287
